<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MFON,D,20150414,000000,915.0000000
MFON,D,20150415,000000,929.0000000
MFON,D,20150416,000000,940.0000000
MFON,D,20150417,000000,918.0000000
MFON,D,20150420,000000,921.0000000
MFON,D,20150421,000000,936.0000000
MFON,D,20150422,000000,914.0000000
MFON,D,20150423,000000,886.0000000
MFON,D,20150424,000000,885.0000000
MFON,D,20150427,000000,870.0000000
MFON,D,20150428,000000,879.0000000
MFON,D,20150429,000000,870.0000000
MFON,D,20150430,000000,877.0000000
MFON,D,20150505,000000,879.0000000
MFON,D,20150506,000000,870.0000000
MFON,D,20150507,000000,858.0000000
MFON,D,20150508,000000,873.0000000
MFON,D,20150512,000000,865.0000000
MFON,D,20150513,000000,838.0000000
MFON,D,20150514,000000,836.0000000
MFON,D,20150515,000000,847.0000000
MFON,D,20150518,000000,835.0000000
MFON,D,20150519,000000,831.0000000
MFON,D,20150520,000000,821.0000000
MFON,D,20150521,000000,833.0000000
MFON,D,20150522,000000,835.0000000
MFON,D,20150525,000000,834.0000000
MFON,D,20150526,000000,829.0000000
MFON,D,20150527,000000,827.0000000
MFON,D,20150528,000000,830.0000000
MFON,D,20150529,000000,811.0000000
MFON,D,20150601,000000,817.0000000
MFON,D,20150602,000000,825.0000000
MFON,D,20150603,000000,829.0000000
MFON,D,20150604,000000,820.0000000
MFON,D,20150605,000000,822.0000000
MFON,D,20150608,000000,820.0000000
MFON,D,20150609,000000,813.0000000
MFON,D,20150610,000000,789.0000000
MFON,D,20150611,000000,771.0000000
MFON,D,20150615,000000,767.0000000
MFON,D,20150616,000000,776.0000000
MFON,D,20150617,000000,770.0000000
MFON,D,20150618,000000,786.0000000
MFON,D,20150619,000000,796.0000000
MFON,D,20150622,000000,797.0000000
MFON,D,20150623,000000,798.0000000
MFON,D,20150624,000000,784.0000000
MFON,D,20150625,000000,787.0000000
MFON,D,20150626,000000,776.0000000
MFON,D,20150629,000000,769.0000000
MFON,D,20150630,000000,778.0000000
MFON,D,20150701,000000,779.0000000
MFON,D,20150702,000000,771.0000000
MFON,D,20150703,000000,757.0000000
MFON,D,20150706,000000,758.0000000
MFON,D,20150707,000000,755.0000000
MFON,D,20150708,000000,774.0000000
MFON,D,20150709,000000,772.0000000
MFON,D,20150710,000000,789.0000000
MFON,D,20150713,000000,784.0000000
MFON,D,20150714,000000,777.0000000
MFON,D,20150715,000000,785.0000000
MFON,D,20150716,000000,785.0000000
MFON,D,20150717,000000,819.0000000
MFON,D,20150720,000000,817.0000000
MFON,D,20150721,000000,809.0000000
MFON,D,20150722,000000,809.0000000
MFON,D,20150723,000000,787.0000000
MFON,D,20150724,000000,776.0000000
MFON,D,20150727,000000,748.0000000
MFON,D,20150728,000000,725.0000000
MFON,D,20150729,000000,736.0000000
MFON,D,20150730,000000,758.0000000
MFON,D,20150731,000000,765.0000000
MFON,D,20150803,000000,770.0000000
MFON,D,20150804,000000,785.0000000
MFON,D,20150805,000000,792.0000000
MFON,D,20150806,000000,804.0000000
MFON,D,20150807,000000,830.0000000
MFON,D,20150810,000000,825.0000000
MFON,D,20150811,000000,807.0000000
MFON,D,20150812,000000,803.0000000
MFON,D,20150813,000000,809.0000000
MFON,D,20150814,000000,816.0000000
MFON,D,20150817,000000,802.0000000
MFON,D,20150818,000000,816.0000000
MFON,D,20150819,000000,810.0000000
MFON,D,20150820,000000,825.0000000
MFON,D,20150821,000000,814.0000000
MFON,D,20150824,000000,806.0000000
MFON,D,20150825,000000,809.0000000
MFON,D,20150826,000000,807.0000000
MFON,D,20150827,000000,801.0000000
MFON,D,20150828,000000,818.0000000
MFON,D,20150831,000000,814.0000000
MFON,D,20150901,000000,805.0000000
MFON,D,20150902,000000,806.0000000
MFON,D,20150903,000000,810.0000000
MFON,D,20150904,000000,809.0000000
MFON,D,20150907,000000,810.0000000
MFON,D,20150908,000000,809.0000000
MFON,D,20150909,000000,810.0000000
MFON,D,20150910,000000,812.0000000
MFON,D,20150911,000000,810.0000000
MFON,D,20150914,000000,812.0000000
MFON,D,20150915,000000,812.0000000
MFON,D,20150916,000000,817.0000000
MFON,D,20150917,000000,818.0000000
MFON,D,20150918,000000,815.0000000
MFON,D,20150921,000000,815.0000000
MFON,D,20150922,000000,810.0000000
MFON,D,20150923,000000,809.0000000
MFON,D,20150924,000000,805.0000000
MFON,D,20150925,000000,800.0000000
MFON,D,20150928,000000,791.0000000
MFON,D,20150929,000000,777.0000000
MFON,D,20150930,000000,815.0000000
MFON,D,20151001,000000,795.0000000
MFON,D,20151002,000000,793.0000000
MFON,D,20151005,000000,783.0000000
MFON,D,20151006,000000,779.0000000
