<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20140604,000000,290.4900000
MTSS,D,20140605,000000,297.0000000
MTSS,D,20140606,000000,303.3000000
MTSS,D,20140609,000000,297.5500000
MTSS,D,20140610,000000,296.6300000
MTSS,D,20140611,000000,301.2000000
MTSS,D,20140616,000000,305.7500000
MTSS,D,20140617,000000,301.0000000
MTSS,D,20140618,000000,303.0000000
MTSS,D,20140619,000000,307.4200000
MTSS,D,20140620,000000,308.0000000
MTSS,D,20140623,000000,306.1500000
MTSS,D,20140624,000000,316.0000000
MTSS,D,20140625,000000,302.7100000
MTSS,D,20140626,000000,299.6000000
MTSS,D,20140627,000000,305.9900000
MTSS,D,20140630,000000,302.0100000
MTSS,D,20140701,000000,307.2000000
MTSS,D,20140702,000000,315.7800000
MTSS,D,20140703,000000,324.0000000
MTSS,D,20140704,000000,298.5200000
MTSS,D,20140707,000000,304.6500000
MTSS,D,20140708,000000,296.1500000
MTSS,D,20140709,000000,296.7000000
MTSS,D,20140710,000000,292.5100000
MTSS,D,20140711,000000,296.9000000
MTSS,D,20140714,000000,298.4900000
MTSS,D,20140715,000000,298.3600000
MTSS,D,20140716,000000,298.0000000
MTSS,D,20140717,000000,290.3800000
MTSS,D,20140718,000000,286.8000000
MTSS,D,20140721,000000,275.2000000
MTSS,D,20140722,000000,276.5000000
MTSS,D,20140723,000000,272.9800000
MTSS,D,20140724,000000,271.9900000
MTSS,D,20140725,000000,266.9900000
MTSS,D,20140728,000000,260.5000000
MTSS,D,20140729,000000,269.3000000
MTSS,D,20140730,000000,271.5200000
MTSS,D,20140731,000000,275.9100000
MTSS,D,20140801,000000,278.6000000
MTSS,D,20140804,000000,282.1600000
MTSS,D,20140805,000000,275.0000000
MTSS,D,20140806,000000,268.0000000
MTSS,D,20140807,000000,268.7900000
MTSS,D,20140808,000000,274.8500000
MTSS,D,20140811,000000,276.0000000
MTSS,D,20140812,000000,280.6000000
MTSS,D,20140813,000000,288.5000000
MTSS,D,20140814,000000,294.0000000
MTSS,D,20140815,000000,298.0000000
MTSS,D,20140818,000000,293.0000000
MTSS,D,20140819,000000,290.2500000
MTSS,D,20140820,000000,292.2100000
MTSS,D,20140821,000000,297.4600000
MTSS,D,20140822,000000,291.1300000
MTSS,D,20140825,000000,294.5000000
MTSS,D,20140826,000000,293.2200000
MTSS,D,20140827,000000,299.0100000
MTSS,D,20140828,000000,295.8000000
MTSS,D,20140829,000000,281.8700000
MTSS,D,20140901,000000,278.5000000
MTSS,D,20140902,000000,282.0000000
MTSS,D,20140903,000000,286.0000000
MTSS,D,20140904,000000,290.1300000
MTSS,D,20140905,000000,298.0000000
MTSS,D,20140908,000000,297.2200000
MTSS,D,20140909,000000,296.5000000
MTSS,D,20140910,000000,292.7800000
MTSS,D,20140911,000000,293.0000000
MTSS,D,20140912,000000,296.5100000
MTSS,D,20140915,000000,292.0100000
MTSS,D,20140916,000000,295.4000000
MTSS,D,20140917,000000,273.7000000
MTSS,D,20140918,000000,275.2900000
MTSS,D,20140919,000000,274.0000000
MTSS,D,20141003,000000,246.4100000
MTSS,D,20141006,000000,252.0900000
MTSS,D,20141007,000000,245.8700000
MTSS,D,20141008,000000,241.6000000
MTSS,D,20141009,000000,232.4500000
MTSS,D,20141010,000000,226.3000000
MTSS,D,20141013,000000,221.0000000
MTSS,D,20141014,000000,221.4500000
MTSS,D,20141015,000000,220.1000000
MTSS,D,20141016,000000,219.8000000
MTSS,D,20141017,000000,228.1500000
